source,author,title,description,url,urlToImage,publishedAt,content
Lifehacker.com,Brendan Hesse,Everything You Missed From Today's Facebook Connect 2020 Event,"Today’s Facebook Connect kicked off with a two-hour keynote that detailed the company’s latest virtual and augmented reality developments. There were product announcements, new apps and games on display, and compelling peeks at some speculative technology. We…",https://lifehacker.com/everything-you-missed-from-todays-facebook-connect-2020-1845081243,"https://i.kinja-img.com/gawker-media/image/upload/c_fill,f_auto,fl_progressive,g_center,h_675,pg_1,q_80,w_1200/pfbtvaqpvu9sxnehdild.jpg",2020-09-16 20:30:00,"Todays Facebook Connect kicked off with a two-hour keynote that detailed the companys latest virtual and augmented reality developments. There were product announcements, new apps and games on displa… [+5586 chars]"
Lifehacker.com,Joel Cunningham,How to Turn Off Alexa's Creepy 'Whisper Mode',"I love my smart speaker—as much as one can ever love a piece of privacy-stealing technology that only exists to gather information about you, I suppose—but that doesn’t mean I don’t find many things about it creepy, in a dystopian sort of way. And one of the …",https://lifehacker.com/how-to-turn-off-alexas-creepy-whisper-mode-1844908094,"https://i.kinja-img.com/gawker-media/image/upload/c_fill,f_auto,fl_progressive,g_center,h_675,pg_1,q_80,w_1200/xnejlf6wytytpdfjhlxc.jpg",2020-08-31 20:30:00,"I love my smart speakeras much as one can ever love a piece of privacy-stealing technology that only exists to gather information about you, I supposebut that doesnt mean I dont find many things abou… [+1722 chars]"
Lifehacker.com,Elizabeth Yuko,How to Avoid Getting a Last-Minute Booking Blocked by Airbnb,"Airbnb is cracking down on parties. They are now basically the equivalent of your parents when you were in high school. Even if you refer to it as a “small gathering,” there is still the possibility of making a mess or other types of property damage. So to av…",https://lifehacker.com/how-to-avoid-getting-a-last-minute-booking-blocked-by-a-1844967058,"https://i.kinja-img.com/gawker-media/image/upload/c_fill,f_auto,fl_progressive,g_center,h_675,pg_1,q_80,w_1200/pggh6tysd4jonlzkuadi.jpg",2020-09-06 14:00:00,"Airbnb is cracking down on parties. They are now basically the equivalent of your parents when you were in high school. Even if you refer to it as a small gathering, there is still the possibility of… [+1587 chars]"
Lifehacker.com,"Beth Skwarecki on Vitals, shared by Beth Skwarecki to Lifehacker",Tackle a Hill Head-On,"Did you find a new trail to run or hike for last week’s challenge? This week is another trail-compatible one, and I encourage you to find someplace fun to do it. But we’re going to take it up a notch, because I want you to specifically find a scary hill. And …",https://vitals.lifehacker.com/tackle-a-hill-head-on-1845026700,"https://i.kinja-img.com/gawker-media/image/upload/c_fill,f_auto,fl_progressive,g_center,h_675,pg_1,q_80,w_1200/es2nldvq7q1eetobcqfe.jpg",2020-09-11 16:30:00,"Did you find a new trail to run or hike for last weeks challenge? This week is another trail-compatible one, and I encourage you to find someplace fun to do it. But were going to take it up a notch, … [+2662 chars]"
Lifehacker.com,"Meghan Moravcik Walbert on Offspring, shared by Meghan Moravcik Walbert to Lifehacker",How to Communicate With Kids When You're Wearing a Mask,"“Mask-muffle” is a term I just made up, but it’s a real thing. If the cloth is meant to block a bunch of tiny respiratory droplets, it’s bound to muffle our words a bit, too. It can be hard enough to catch every word when you’re standing close to someone in a…",https://offspring.lifehacker.com/how-to-communicate-with-kids-when-youre-wearing-a-mask-1845067940,"https://i.kinja-img.com/gawker-media/image/upload/c_fill,f_auto,fl_progressive,g_center,h_675,pg_1,q_80,w_1200/r7umj3takuljhctbv9w8.jpg",2020-09-17 13:00:00,"Mask-muffle is a term I just made up, but its a real thing. If the cloth is meant to block a bunch of tiny respiratory droplets, its bound to muffle our words a bit, too. It can be hard enough to cat… [+4194 chars]"
Engadget,Richard Lawler,Watch Elon Musk's Neuralink reveal live at 6PM ET,"Last year Neuralink launched with lofty promises of developing chips and technology that will connect human brains to computers, and now the company is ready to show off its progress. Elon Musk said the webcast will include a look at a working Neuralink devic…",https://www.engadget.com/neuralink-bmi-livestream-214856853.html,https://o.aolcdn.com/images/dims?resize=1200%2C630&crop=1200%2C630%2C0%2C0&quality=95&image_uri=https%3A%2F%2Fs.yimg.com%2Fos%2Fcreatr-uploaded-images%2F2020-08%2F0beead00-e978-11ea-89ff-16d5c28bcfdb&client=amp-blogside-v2&signature=1688bf1caa73538af8f2c0ca8eab87a7f9c0f8cd,2020-08-28 21:48:56,"Last year Neuralink launched with lofty promises of developing chips and technology that will connect human brains to computers, and now the company is ready to show off its progress. Elon Musk said … [+171 chars]"
Engadget,Steve Dent,Xiaomi's under-display camera tech is coming to phones next year,"Under-display cameras do a neat trick, allowing manufacturers to build all-screen phones without complex pop-up selfie cameras. Now, Xiaomi has unveiled its third-generation of under-display cameras and promised that the technology will be coming to the mass …",https://www.engadget.com/xiaomis-under-display-camera-tech-is-coming-to-phones-next-year-130012911.html,https://o.aolcdn.com/images/dims?resize=1200%2C630&crop=1200%2C630%2C0%2C0&quality=95&image_uri=https%3A%2F%2Fs.yimg.com%2Fos%2Fcreatr-uploaded-images%2F2020-08%2F91e25a50-e91f-11ea-9f6c-bbfe604c8b07&client=amp-blogside-v2&signature=df0e807f9612a45abdb84c3b1ae7fb3bb0801b86,2020-08-28 13:00:12,"Xiaomi developed its own pixel grid arrangement that allows light to pass through the gap area of sub-pixels. At the same time, each single pixel has a complete RGB subpixel layout with no sacrifice … [+724 chars]"
Engadget,Steve Dent,Pentagon says Microsoft still deserves $10 billion JEDI cloud contract,"After an internal investigation, the US Department of Defense (DoD) announced that is standing by its decision to award the $10 billion JEDI cloud computing contract to Microsoft and not Amazon. The probe was triggered after Amazon complained that the integri…",https://www.engadget.com/pentagon-microsoft-dod-jedi-defense-094536689.html,https://o.aolcdn.com/images/dims?resize=1200%2C630&crop=1200%2C630%2C0%2C0&quality=95&image_uri=https%3A%2F%2Fs.yimg.com%2Fos%2Fcreatr-uploaded-images%2F2020-09%2Fad4472f0-f0e6-11ea-bdf5-79e54a6abe6f&client=amp-blogside-v2&signature=df79ed3cdb187ba44d0f9289558cfa995e8f840c,2020-09-07 09:45:36,"The DoD has said that the cloud contract, which will provide storage, AI processing, machine learning and more is essential to modernizing the US military. Oracle and IBM bid along with Microsoft and… [+1253 chars]"
Engadget,Christine Fisher,Skullcandy’s Crusher Evo headphones are even better at rattling your brain,"Skullcandy says its new Crusher Evo wireless headphones are more brain rattling than ever. The Crusher line has been using haptics to create ""an ultra-realistic sensory bass experience"" since 2013, but Skullcandy says the Crusher Evo cans offer “more multi-di…",https://www.engadget.com/skullcandy-crusher-evo-headphones-151354665.html,https://o.aolcdn.com/images/dims?resize=1200%2C630&crop=1200%2C630%2C0%2C0&quality=95&image_uri=https%3A%2F%2Fs.yimg.com%2Fos%2Fcreatr-uploaded-images%2F2020-09%2F0bd96b30-edf5-11ea-aacc-ee8653355bef&client=amp-blogside-v2&signature=855f6c2ec50e7a30bdd1a492d829b8fef2b2d376,2020-09-03 15:13:54,"The Evo promise 40 hours of battery life, plus rapid charging technology that delivers a four-hour boost with a 10-minute charge. Touch controls let users take calls, change tracks, adjust volume and… [+249 chars]"
Engadget,Richard Lawler,Apple's latest iOS 14.2 beta adds a built-in control for Shazam,"Two years after completing its $400 million acquisition of Shazam, Apple is showing developers what the technology can do when it’s integrated directly with iOS. A version of the iOS 14.2 beta that’s currently in testing includes the ability to add Shazam’s M…",https://www.engadget.com/shazam-music-recognition-ios-14-2-020959942.html,https://o.aolcdn.com/images/dims?resize=1200%2C630&crop=1200%2C630%2C0%2C0&quality=95&image_uri=https%3A%2F%2Fs.yimg.com%2Fos%2Fcreatr-uploaded-images%2F2020-09%2F85a38770-f953-11ea-bbb9-94a4b96588d1&client=amp-blogside-v2&signature=b8e57e09a64cd9192b231ee848afd21b220c7881,2020-09-18 02:09:59,"Two years after completing its $400 million acquisition of Shazam, Apple is showing developers what the technology can do when it’s integrated directly with iOS. A version of the iOS 14.2 beta that’s… [+364 chars]"
